No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"During the forum — organized by the Silicon Valley Youth Climate Action student group and several other local civic organizations — all of the candidates expressed broad support for climate-friendly initiatives, such as the city’s efforts to accelerate the adoption of electric home appliances through subsidies. However, with a punishing budget crisis forcing San Jose to roll back services, the candidates also uniformly declined to commit to maintain funding levels for those programs, which are executed under the umbrella of the city’s Climate Smart San Jose initiative.",Named People,"Sott Hughes, Mike Hennessy, Gordon Chester, Genny Altwer, Rick Ator",,,candidate vying for the District 9 seat
2,Altwer said the city’s climate programs fit neatly into her broader campaign priorities.,Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
3,"""My biggest platform is keeping you safe, and whether that is through staffing the police department or keeping you safe from things like pollution and emissions, to me it all goes together,"" she said at the forum.",Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
4,"Asked for their stance on such home electrification requirements, most District 9 candidates expressed only qualified support.",Unnamed Group of People,,most District 9 candidates,,
5,But Altwer and her fellow candidates also voiced concern that placing restrictions on gas appliances could saddle residents with extra financial burdens that would be difficult to bear.,Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
6,"But more recently, leaders have acknowledged the city is off course. San Jose’s most recent greenhouse gas inventory found emissions increased slightly between 2021 and 2023.",Unnamed Group of People,Leaders,,,
7,"""My concern is making sure we're not pushing unexpected costs onto existing homeowners,"" Ator told San José Spotlight in response to a follow-up inquiry after the debate. ""If the code is structured to apply only at the natural point of replacement - when someone's already swapping out a broken (air conditioner) that's a reasonable ask.""",Named Person,Rick Ator,tech worker,,candidate vying for the District 9 seat
8,Altwer was the only candidate to express outright opposition to such code requirements.,Named Person,Genny Altwer,licensed marriage and family therapist,,candidate vying for the District 9 seat
9,"Meanwhile, Hughes said he has supported efforts to bring more trees to parks and roadways over his seven-year stint in the District 9 office. That includes a $20,000 rebate program to encourage residents to plant trees on the sidewalks in front of their properties.",Named Person,Scott Hughes,chief of staff for terming out incumbent Vice Mayor Pam Foley,,candidate vying for the District 9 seat
10,"""I think that there's a lot of positives around funding more trees, not only in our parks but along our roadways,"" Hughes said at the forum. ""It cleans our air. It also is a natural traffic calmer.""",Named Person,Scott Hughes,chief of staff for terming out incumbent Vice Mayor Pam Foley,,candidate vying for the District 9 seat
11,Candidates also weighed in on the city’s plans to support the development of new data centers in San Jose. This effort has faced pushback from residents who are concerned about the potential strain the facilities could place on local water and electrical infrastructure.,Unnamed Group of People,Candidates,,,
12,"""I'm not the biggest fan of data centers, generally, Chester said at the forum. ""We don't need these data centers. I am okay with seeing them be far away... We can build better things here in San Jose until we know that they are completely safe.""",Named Person,Gordon Chester,longtime city employee,,candidate vying for the District 9 seat
13,"Hennessy expressed a greater openness to the expansion effort, but also said the city should ensure the rollout benefits residents.",Named Person,Mike Hennessy,serial entrepreneur,,candidate vying for the District 9 seat
14,"""We're Silicon Valley. They need that to keep Silicon Valley alive,"" Hennessy said at the forum. ""This part of California is the largest innovator, really, of the electronics world, like it or not. We're going to have to find a way to work with it, and I think we can work together when problems pop up.""",Named Person,Mike Hennessy,serial entrepreneur,,candidate vying for the District 9 seat
15,"""I would say on balance, a lot of the answers were noncommittal,"" Anika Khanna, the event's moderator and a sophomore at Lynbrook High School, told San José Spotlight. ""It wasn't the response that we hoped to see.""",Named Person,Anika Khanna,,,"Anika Khanna, the event's moderator and a sophomore at Lynbrook High School, Silicon Valley Youth Climate Action member"
16,"""It shows the candidates... their constituents really do care about climate, she said.""",Named Person,Anika Khanna,,,"Anika Khanna, the event's moderator and a sophomore at Lynbrook High School, Silicon Valley Youth Climate Action member"
17,"Organizers behind the candidate forum, including students with Silicon Valley Youth Climate Action, said they hope the event will place climate policy more firmly on the agenda in the District 9 race.",Unnamed Group of People,Organizers behind the candidate forum,,,including students with Silicon Valley Youth Climate Action
