,GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
0,"an average of two months passed between when oakland schools were tested for lead this spring and when those school communities were notified of high lead levels in august, according to a report from this week’s oakland unified school board meeting.","an average of two months passed between when oakland schools were tested for lead this spring and when those school communities were notified of high lead levels in august, according to a report from this weeks oakland unified school board meeting.",100,Documents,Named_Organization,No,oakland unified school board,oakland unified school district,81,,,0.0,,a report from this week's oakland unified school board meeting,0.0, , a report from this week's oakland unified school board meeting,0.0
1,"in an update at wednesday’s school board meeting, parents, students and school staff demanded transparency and answers about why they were kept in the dark.",,0,Anonymous_Groups,,No,"parents, students, school staff",,0,,,0.0,,,0.0, ,,0.0
2,"“this mistake has caused families stress, anxiety and panic, further limiting our community’s trust in this district,” said max simmons, one of ousd’s student directors.","this mistake has caused families stress, anxiety and panic, further limiting our communitys trust in this district.",100,Named_Person,Named_Person,Yes,max simmons,max simmons,100,"ousd student director,ousd’s student directors",student director,0.7386301755905151,,one of ousds student directors,0.0,"ousd student director,ousd’s student directors ",student director one of ousds student directors,0.9438917636871338
3,"“how can our schools be a safe place and support students in our district if we can’t even keep our water clean? when i hear that something as major as lead contamination reports getting lost in the system or not being communicated to the appropriate school or staff, it is absolutely horrifying and heartbreaking.”","how can our schools be a safe place and support students in our district if we cant even keep our water clean? when i hear that something as major as lead contamination reports getting lost in the system or not being communicated to the appropriate school or staff, it is absolutely horrifying and heartbreaking.",100,Named_Person,Named_Person,Yes,max simmons,max simmons,100,"ousd student director,ousd’s student directors",student director,0.7386301755905151,,one of ousds student directors,0.0,"ousd student director,ousd’s student directors ",student director one of ousds student directors,0.9438917636871338
4,"district leadership — including superintendent kyla johnson-trammell, chief systems and services officer preston thomas, and risk management officer rebecca littlejohn — committed to transparency going forward and said a personnel investigation is underway to determine how communication broke down.",,0,Named_Organization,,No,oakland unified school district,,0,,,0.0,,,0.0, ,,0.0
5,"as soon as ousd staff learned about the test results in august, they closed access to the impacted water sources, johnson-trammell said.",,0,Named_Person,,No,kyla johnson-trammell,,0,superintendent,,0.0,,,0.0,superintendent ,,0.0
6,"“i sincerely apologize for the stress and concern this has caused our school sites, students and families. we understand the gravity of this situation and we are fully committed to taking immediate, transparent and corrective action,” she said.","i sincerely apologize for the stress and concern this has caused our school sites, students and families. we understand the gravity of this situation and we are fully committed to taking immediate, transparent and corrective action",100,Named_Person,Named_Person,Yes,kyla johnson-trammell,kyla johnson-trammell,100,superintendent,superintendent,1.0000001192092896,,,0.0,superintendent ,superintendent ,1.0000001192092896
7,"community members, many of whom raised concerns two weeks ago, were skeptical.",,0,Anonymous_Groups,,No,community members,,0,,,0.0,"in berkeley unified, water fixtures testing above 1 part per billion are taken offline and repaired.",,0.0," in berkeley unified, water fixtures testing above 1 part per billion are taken offline and repaired.",,0.0
8,"teachers from frick united academy of language demanded to know why, if testing took place in april, fountains weren’t shut down until august.",,0,Anonymous_Groups,,No,teachers from frick united academy of language,,0,,,0.0,the school hosted students for summer programming when fountains would have still been in use.,,0.0, the school hosted students for summer programming when fountains would have still been in use.,,0.0
9,"“there is so much trust rebuilding that has to be done for our community. we have failed. and when i say ‘we’ i mean ousd has failed at its most basic job of not poisoning our students,” said stuart loebl, a sixth-grade science teacher at frick.","there is so much trust rebuilding that has to be done for our community. we have failed. and when i say we i mean ousd has failed at its most basic job of not poisoning our students. to start, we need an independent audit. it is not enough for oakland unified school district to do an internal investigation because we need to know what has happened.",100,Named_Person,Named_Person,Yes,stuart loebl,stuart loebl,100,"sixth-grade science teacher, frick united academy of language",sixth-grade science teacher,1.0,,a sixth-grade science teacher at frick,0.0,"sixth-grade science teacher, frick united academy of language ",sixth-grade science teacher a sixth-grade science teacher at frick,0.8790532946586609
